8, -11, 1 
-6, -8, 0 
0, -6, 1 
3, -3, 2 
8, 3, 3 
1, -4, 2 
-13, -1, 1 
-12, -13, 2 
-6, -11, 3 
-3, -8, 4 
2, -2, 5 
3, 9, 6 
11, -2, 7 
4, -9, 6 
-10, -6, 5 
-3, -16, 6 
3, -14, 7 
6, -11, 8 
11, -5, 9 
12, 6, 10 
5, -1, 9 
-9, 2, 8 
-8, -10, 9 
-2, -8, 10 
1, -5, 11 
6, 1, 12 
-1, -6, 11 
-15, -3, 10 
-8, -13, 11 
-2, -11, 12 
1, -8, 13 
6, -2, 14 
7, 9, 15 
15, -2, 16 
8, -9, 15 
-6, -6, 14 
0, -4, 15 
5, 2, 16 
-2, -5, 15 
-16, -2, 14 
-9, -12, 15 
-3, -10, 16 
0, -7, 17 
5, -1, 18 
-2, -8, 17 
-16, -5, 16 
-9, -15, 17 
-3, -13, 18 
0, -10, 19 
5, -4, 20 
6, 7, 21 
14, -4, 22 
7, -11, 21 
-7, -8, 20 
-1, -6, 21 
2, -3, 22 
3, 8, 23 
11, -3, 24 
4, -10, 23 
-10, -7, 22 
-4, -5, 23 
-1, -2, 24 
-8, -9, 23 
-2, -7, 24 
1, -4, 25 
2, 7, 26 
10, -4, 27 
3, -11, 26 
-11, -8, 25 
-5, -6, 26 
-2, -3, 27 
3, 3, 28 
-4, -4, 27 
2, -2, 28 
-6, -14, 27 
-3, -11, 28 
2, -5, 29 
3, 6, 30 
11, -5, 31 
4, -12, 30 
-10, -9, 29 
-4, -7, 30 
-1, -4, 31 
0, 7, 32 
8, -4, 33 
1, -11, 32 
-13, -8, 31 
-7, -6, 32 
-4, -3, 33 
1, 3, 34 
-6, -4, 33 
0, -2, 34 
-8, -14, 33 
-5, -11, 34 
0, -5, 35 
1, 6, 36 
9, -5, 37 
2, -12, 36 
-12, -9, 35 
-6, -7, 36 
-3, -4, 37 
2, 2, 38 
-5, -5, 37 
1, -3, 38 
-7, -15, 37 
-4, -12, 38 
1, -6, 39 
2, 5, 40 
-5, -2, 39 
